Products Report																				
Store: Higher Health																				
Date: 02-10-2026																				
																				
Category	Name	SKU	Price	Pricing Type	Unit Weight Of Measure	Brand	Is Sample	Unit Weight	Strain	Supplier	Pricing Group	Tags	Created At	Updated At	Net Weight	Net Weight Of Measure	Menu Product Name	Menu Product Description	Menu Image	Quantity
Accessories	14mm Round Bowl ASSORTED COLORS		$4.71 	Simple			No			Seven Star Distributors			8/24/2024	2/7/2026						13 Items
Accessories	"5"" Glass Pipe assorted"		$14.12 	Simple		Seven Star Distributors	No			Seven Star Distributors			1/5/2025	2/2/2026			"5"" Glass Pipe Assorted"			2 Items
Accessories	"7"" Assorted bongs"		$23.54 	Simple		Seven Star Distributors	No			Seven Star Distributors			6/9/2024	2/6/2026			"7"" Inch Assorted Bongs"			6 Items
Accessories	ALEAF SPINNER KIT Z BANGER		$18.83 	Simple		Seven Star Distributors	No			Seven Star Distributors			10/26/2025	10/26/2025			ALEAF SPINNER KIT Z BANGER			1 Items
Prepackaged Flower	Acapulco Gold by Ashlock's Farms Eighth		$17.67 	Simple	Grams	Ashlock's Farms	No	3.5	Acapulco Gold	Empire Management Group LLC			1/21/2026	2/9/2026	3.5	Grams	Acapulco Gold by Ashlock's Farms Eighth	"28.5% THC, 3.45% Terps"		11 Items
Infused Preroll	Area 52 Chem Berry D Kief Infused Preroll Pack 5 Grams		$13.25 	Simple	Grams	Area 52	No	5	Chem Berry D	"ACDS PROCESSING, LLC"			8/12/2025	2/3/2026	5	Grams	Chem Berry D Kief Infused Preroll Pack 5 Grams	"30.86% THC, 1.0% Terps"		4 Items
Infused Preroll	Area 52 Dirty Taxi Kief Infused Preroll Pack 5 Grams		$13.25 	Simple	Grams	Area 52	No	5	Dirty Taxi	"ACDS PROCESSING, LLC"			8/12/2025	1/20/2026	5	Grams	Dirty Taxi Kief Infused Preroll Pack 5 Grams	"21.50% THC, 1.08% Terps"		6 Items
Infused Preroll	Area 52 Triple Hamburger Kief Infused Preroll Pack 5 Grams		$13.25 	Simple	Grams	Area 52	No	5	Triple Hamburger	"ACDS PROCESSING, LLC"			8/12/2025	2/4/2026	5	Grams	Triple Hamburger Kief Infused Preroll Pack 5 Grams	"21.50% THC, 1.33% Terps"		5 Items
Vape Carts	Azul Chembow Rosin Vape Cart 0.5 Grams		$44.17 	Simple	Grams	Azul	No	0.5	Chembow	"Crossfield Collective, LLC"			2/27/2025	11/26/2025	0.5	Grams	Chembow Rosin Vape Cart 0.5 Grams	"78.21% THC, 7.19% Terps"		4 Items
Accessories	Azul Limited Edition Battery Combo		$18.83 	Simple		Timeless	No			Timeless			10/30/2025	1/2/2026			Azul Limited Edition  Battery Combo			8 Items
Vape Carts	Azul Moonbow Rosin Vape Cart 0.5 Grams		$44.17 	Simple	Grams	Azul	No	0.5	MoonBow	"Crossfield Collective, LLC"			6/5/2025	2/6/2026	0.5	Grams	Moonbow Rosin Vape Cart 0.5 Grams	"77.15% THC, 7.13% Terps"		3 Items
Prepackaged Flower	Banana Split by C3 Medical Eighth		$17.67 	Simple	Grams	C3 Medical	No	3.5	Banana Split	Michael Cooke			11/26/2025	2/3/2026	3.5	Grams	Banana Split by C3 Medical Eighth	"21.35% THC, 3.49% Terps"		1 Items
Accessories	Beaded Roach Clips		$7.54 	Simple			No			other			9/18/2023	10/17/2025			Beaded Roach Clips	Variety	https://retail.growflow.com/p/hhprocessingcorporation/files/IyjuAzO0Hho1JCEcBlGKUhzwZbf4H6qsx1oia92YTxUejiVs02mVkEs/1c33caa57e73080b4411f6c033e42194_beaded_clips_jpg.jpeg	57 Items
